Order,MAE,MSE,RMSE,MAPE
"(5, 1, 4)",465.73995198649385,365092.27958681685,604.2286649827339,0.14786193436580516
"(0, 1, 0)",478.0282796223958,367730.8303582271,606.4081384333715,0.14639323336134463
"(4, 1, 4)",482.72762744356413,372516.88972165686,610.3416172289556,0.1535886565700216
"(1, 1, 0)",488.36889268642904,381058.2902453376,617.2991902192466,0.15006381621348275
"(0, 1, 1)",494.177110122531,393243.8940902136,627.091615388225,0.15198207205821945
"(6, 1, 4)",482.67921336625983,393249.01839077356,627.0957011419976,0.15444207225300344
"(2, 1, 0)",498.52138388460344,407189.79762002896,638.1142512278103,0.15341257677893302
"(7, 1, 4)",477.41886855069873,410535.0165166869,640.7300652511062,0.15068061367440377
"(0, 1, 2)",503.2691560582334,412323.0052214963,642.1238239011976,0.15584704725245876
"(2, 1, 2)",489.95344557015113,416922.55903550633,645.6954073210575,0.15150247757548604
"(7, 1, 6)",519.0019564063472,422706.7729385058,650.1590366506535,0.1658765772908158
"(4, 1, 0)",500.5098129367382,430777.5144502288,656.3364338890755,0.1541363936128417
"(3, 1, 0)",514.6332909882311,432803.22611440555,657.8778200505056,0.1596183265325322
"(4, 1, 1)",502.3010296764526,437288.9948667271,661.2783036413089,0.1552476289188797
"(3, 1, 1)",506.13515679855067,438114.46998548735,661.9021604327088,0.1565663066948738
"(0, 1, 3)",521.9363103932625,439978.8207437689,663.3089934139058,0.16373266824138719
"(0, 1, 4)",500.4757436141351,443158.39379180083,665.7014299156949,0.15492210505191947
"(1, 1, 1)",529.0965981368503,444161.67806631007,666.4545581405457,0.16579056164850794
"(5, 1, 0)",510.81741227066476,444177.73323038936,666.4666032370935,0.15908062287325386
"(1, 1, 2)",526.6268180998613,445284.2434395633,667.2962186612205,0.1654312365112409
"(2, 1, 4)",497.3900970175636,451397.31865453534,671.8610858313907,0.15597138171193106
"(5, 1, 1)",521.311660608066,452988.8217014487,673.0444425901225,0.16306033498436648
"(2, 1, 5)",508.9531821198818,453412.93459351716,673.3594393735913,0.1599115233981497
"(6, 1, 1)",516.7072737320893,456671.2686131716,675.7745693744117,0.16147360197703567
"(6, 1, 0)",517.0753273819897,457064.4568066316,676.0654234662734,0.16158249734917543
"(5, 1, 6)",530.9274621077197,458469.72094281117,677.1039218191039,0.17028893792010902
"(7, 1, 0)",517.4298753626587,459988.4709997424,678.2244989675191,0.16172044041117942
"(1, 1, 3)",529.2345891296345,465366.2910620729,682.1776096164934,0.1662401743584096
"(3, 1, 2)",531.3907287078156,465833.309507361,682.5198235270248,0.16504979725521904
"(4, 1, 7)",528.0254582897328,467217.2494072746,683.5329175740366,0.1675587987166273
"(5, 1, 2)",524.5897859074238,467468.4866188269,683.7166713038573,0.16496651554613795
"(2, 1, 7)",551.7734018670825,467969.17864142597,684.0827279221614,0.17836049139259894
"(1, 1, 4)",514.9657075550236,468526.05654080305,684.4896321645807,0.1609243689110707
"(2, 1, 1)",539.9804120427708,470876.6202642685,686.2045032381152,0.169456113801664
"(0, 1, 5)",534.6368670840842,472658.0936104734,687.5013408063096,0.1691275101618708
"(2, 1, 3)",516.3145505392005,473717.61765378807,688.2714708992289,0.16186360069690026
"(6, 1, 6)",546.8501825053861,475600.54562266544,689.6379815690733,0.1751206630795601
"(7, 1, 2)",550.3558476022928,482273.906581437,694.4594347990651,0.17556588776499207
"(6, 1, 5)",523.0956901008175,483183.99861375015,695.1143780801474,0.1645950374844818
"(4, 1, 2)",524.5492657976068,484266.5690584529,695.8926419056698,0.16411854925728922
"(4, 1, 5)",559.5608281635656,486525.6095897632,697.5138777040663,0.17997093209795742
"(4, 1, 3)",541.965543839103,490105.95415143995,700.0756774459744,0.17144655792747468
"(7, 1, 1)",532.6290021062833,491599.62132092245,701.1416556737464,0.16731775118128644
"(5, 1, 7)",556.270947334588,493439.7265214916,702.4526507327676,0.17838583188793555
"(2, 1, 6)",519.7280704016797,494292.31891096773,703.0592570409466,0.1611817973506612
"(0, 1, 6)",544.3227485008291,495790.99395068316,704.1242745074786,0.1723024117307164
"(3, 1, 3)",554.0930094245442,496174.3658120768,704.3964549968127,0.1750346213624854
"(5, 1, 5)",552.0113082105629,497641.6359172796,705.4371948779562,0.17409622132193406
"(6, 1, 3)",532.5275805681159,498182.6663848126,705.8205624553684,0.16910437125360342
"(4, 1, 6)",517.0645503855197,498458.6974634144,706.0160745078078,0.1634381702341843
"(7, 1, 5)",522.0542206855167,499039.8159394078,706.4275022529968,0.1641087310111963
"(1, 1, 5)",531.2201250752939,502120.14337584825,708.6043630798841,0.16550286050969554
"(7, 1, 7)",539.0631692389662,511588.53613289754,715.2541758933655,0.17353382847306523
"(3, 1, 4)",567.5666797379353,512303.3820679432,715.7537160699504,0.17922223566988874
"(3, 1, 5)",550.5086994099453,513450.1067899288,716.5543292660569,0.17225925619499574
"(7, 1, 3)",556.7732595808964,516893.8402685541,718.9532949145961,0.17517282114556912
"(1, 1, 6)",540.2891247242569,521041.3737124566,721.8319566993807,0.16872063599480272
"(3, 1, 6)",537.4426211800267,525005.8864118495,724.5728993081714,0.16889979065363728
"(3, 1, 7)",538.8458633178926,527687.1466147624,726.4207779343611,0.16962584611783474
"(1, 1, 7)",547.5457501961874,531543.5703235896,729.0703466220456,0.17634029554012423
"(6, 1, 2)",538.8337025120558,532862.9193583012,729.9746018583805,0.16803662680403617
"(6, 1, 7)",574.912642348475,554614.6972232802,744.7245780980243,0.1834237709230605
"(0, 1, 7)",579.1354793099214,576159.0696558134,759.0514275434922,0.18290642446091623
"(5, 1, 3)",725.4129221134444,933108.431575935,965.9753783487108,0.2517253487316596
