Order,MAE,MSE,RMSE,MAPE
"(4, 1, 2)",672.800505456178,628388.4799391042,792.7095810819396,0.2011008967921383
"(4, 1, 3)",667.6017681842254,666390.483879392,816.3274366817473,0.19560084794147856
"(0, 1, 7)",675.6593023363761,681005.2516726424,825.2304233804292,0.1984610712131083
"(6, 1, 3)",687.3910918043994,688563.8880246073,829.7974982033913,0.20264347508455371
"(3, 1, 3)",690.8827189173513,733298.1005194838,856.3282667992945,0.20079193848093657
"(4, 1, 4)",696.1947746655895,745251.2270858614,863.2793447580345,0.20227982722569202
"(2, 1, 3)",701.7017967649813,756848.5345414059,869.9704216474292,0.203883358181818
"(3, 1, 4)",707.4292778619953,764478.6027284398,874.3446704409193,0.20571307920520862
"(1, 1, 3)",716.8017109432291,769071.98467439,876.9674935106717,0.20898254806362504
"(6, 1, 4)",718.6508720141946,774097.6490464703,879.8281929140884,0.21059255272844013
"(1, 1, 4)",714.6082444549075,777125.5217913488,881.5472317416401,0.20800109063087704
"(2, 1, 5)",731.9723857017311,799136.7962494986,893.9445151962725,0.21379088015537082
"(2, 1, 6)",734.6317222925568,801545.1587903877,895.2905443432247,0.21469585012873826
"(3, 1, 2)",740.8466468365449,802569.2819279305,895.8623119251812,0.21707350530074396
"(3, 1, 5)",732.5970172972314,803353.7402661531,896.3000280409195,0.21401799971502386
"(4, 1, 1)",749.6403120368453,810177.2088710676,900.0984439888048,0.21968724136244278
"(5, 1, 2)",752.8102103463402,814415.003408175,902.4494464556865,0.22080557524144342
"(5, 1, 1)",752.467737628186,815797.5167271355,903.215099922015,0.22062324846746442
"(6, 1, 0)",751.3878971119707,816143.5303846817,903.4066251609414,0.22022753295955635
"(6, 1, 1)",751.5634756700803,817246.2051473376,904.0167062324333,0.2202610129700766
"(7, 1, 0)",751.891692357744,818959.8888864926,904.9640262941354,0.22033879560174938
"(3, 1, 1)",757.7862557798113,821943.9236606545,906.6112307161512,0.22234421804755466
"(6, 1, 2)",763.1684781167169,825302.3137790709,908.461509244652,0.2244729691799472
"(5, 1, 0)",763.4604082058139,827899.1537377349,909.889638218688,0.22435880184787949
"(0, 1, 4)",772.111492212428,840108.4205505782,916.5742853422073,0.22744066698961976
"(7, 1, 5)",762.6604935268678,840881.4697569216,916.9958940785513,0.22472795492057973
"(0, 1, 6)",767.8839947669704,841736.0140036141,917.4617234542344,0.2259370427129461
"(6, 1, 5)",771.1062667371906,843374.2084419107,918.3540757474269,0.22758813517508292
"(1, 1, 5)",773.7878820697223,845680.7191373002,919.6090034016088,0.22798686956060235
"(0, 1, 5)",776.0936242888516,850866.1930125384,922.4240852300737,0.22878777613088666
"(7, 1, 1)",776.3424587542598,854766.4331420659,924.5357933266109,0.22854874236846512
"(4, 1, 0)",788.4528781389896,866070.3841091748,930.6290260405458,0.23249717461421426
"(5, 1, 5)",792.2950092916741,878855.7427006712,937.4730623866859,0.23449909083592899
"(0, 1, 1)",802.7141421306948,880595.9722971908,938.400752502464,0.23768012296213478
"(1, 1, 0)",811.1948447934313,897347.6374836128,947.2843488011468,0.2402655157624368
"(5, 1, 4)",811.5395071969239,907764.7012335105,952.7668661501147,0.240747086326453
"(7, 1, 4)",827.7554419934353,914538.4163908729,956.3150194318151,0.24681007701982824
"(7, 1, 3)",821.8499664487293,934093.0411454263,966.484889248366,0.24344249584076982
"(0, 1, 0)",833.4714558919271,940416.5299622765,969.7507566185635,0.24718705508922537
"(3, 1, 0)",838.6956048646352,950770.7666737898,975.0747492750439,0.24882155062675115
"(1, 1, 1)",841.8784304563075,954122.3531445075,976.7918678738616,0.24999713042520225
"(3, 1, 7)",839.5860253786408,960095.3052305476,979.8445311530537,0.24972272259203074
"(0, 1, 3)",853.9832780159891,976381.9585384303,988.1204170233658,0.25386741914187116
"(2, 1, 2)",855.5126678555674,981663.3306985749,990.7892463579602,0.25421542567030425
"(1, 1, 7)",860.9607045842095,983994.8923381693,991.9651668975929,0.25760463372132575
"(3, 1, 6)",863.1847973819022,984565.392796368,992.2526859607727,0.2580600773919315
"(4, 1, 7)",869.7336334273455,997086.7093941589,998.5422922411243,0.26021553731773145
"(2, 1, 7)",863.4590467287331,997987.7649183247,998.9933758130354,0.2577452672282671
"(4, 1, 5)",874.1129390381451,999638.4268147174,999.8191970625076,0.262230834181746
"(1, 1, 2)",873.000895122915,1012124.623129222,1006.0440463166719,0.2599569964287234
"(2, 1, 1)",880.7260976164325,1026772.1063151085,1013.2976395487698,0.2624447772408426
"(0, 1, 2)",880.8426906911149,1027479.2184537022,1013.6464958030004,0.26244627790096914
"(2, 1, 4)",879.5654669476206,1028366.4463806082,1014.0840430559039,0.2621569960664252
"(7, 1, 7)",894.8215841786778,1047426.3407162871,1023.4384889754182,0.26832709264843363
"(7, 1, 2)",913.7353558842615,1066313.1566068097,1032.6244024846642,0.27486121548076037
"(2, 1, 0)",903.6548748075353,1070078.0911550245,1034.4457893746894,0.26986312924745853
"(7, 1, 6)",907.1439272111751,1071411.5331770869,1035.0901087234322,0.272131024101721
"(6, 1, 7)",919.870742163389,1091543.6959222036,1044.7696855873085,0.27666899778489557
"(5, 1, 7)",922.0547332726974,1096146.5970560622,1046.9701987430503,0.2773764186506478
"(6, 1, 6)",942.5214978623135,1134828.4462567244,1065.2832704293842,0.28370263148402053
"(4, 1, 6)",955.8910994872886,1158272.7734441198,1076.2308179215645,0.2882048117715924
"(5, 1, 6)",971.3070400635803,1185386.1844734456,1088.7544188077702,0.29331869540208916
"(1, 1, 6)",1011.8231507870205,1267503.8573917055,1125.8347380462665,0.30650224793137876
"(5, 1, 3)",3114.9426472981772,9948609.558132643,3154.14165156428,1.0
