Order,MAE,MSE,RMSE,MAPE
"(4, 1, 7)",202.11161343747023,50823.26276018388,225.44015338928398,0.05580919449291114
"(7, 1, 1)",221.80345359119084,61435.11046979326,247.8610709042331,0.061907196002293094
"(5, 1, 7)",222.17444084465305,61568.766618590606,248.13054350198527,0.062108713093094806
"(5, 1, 5)",222.2730646681718,61798.916052740846,248.5938777458947,0.062302375111207384
"(7, 1, 4)",223.15287601455844,62232.89944757645,249.46522693068155,0.06246075360761148
"(7, 1, 7)",223.85548789354507,63157.50612288684,251.31157180457657,0.0628531535971964
"(5, 1, 0)",224.97350633928573,63712.418478049876,252.41318998429912,0.06295202391277163
"(2, 1, 5)",225.1406599950165,63713.87368281064,252.41607255246373,0.0629916684838584
"(1, 1, 7)",225.2030365564888,63882.265948324464,252.7494133491203,0.06308420735676487
"(0, 1, 5)",225.24687747813292,63962.621232861806,252.90832574840593,0.06306319721513257
"(0, 1, 1)",225.75522824757883,64018.704325147206,253.0191777813437,0.06320045485745171
"(1, 1, 0)",225.778805785868,64032.899934567606,253.04722866407292,0.0632089186444276
"(1, 1, 1)",225.86925197548655,64114.9125524756,253.20922683124246,0.06324556844327778
"(5, 1, 2)",225.5395965555521,64236.228172350624,253.44866969931135,0.06317654861299281
"(2, 1, 0)",226.01283887400336,64248.55279771817,253.47298238218244,0.06330399341946089
"(0, 1, 2)",226.06057445117602,64282.33882684538,253.53961983651664,0.06332176843918146
"(5, 1, 1)",225.55139160803887,64296.96644823515,253.5684650113952,0.06318759135090048
"(2, 1, 4)",225.7540541230499,64412.125796804925,253.79544085110143,0.06326320747773279
"(1, 1, 5)",225.86713119582635,64490.585927660904,253.9499673708601,0.06330031752052828
"(3, 1, 0)",226.29005120282025,64505.816764066185,253.9799534689031,0.06341581653108712
"(0, 1, 3)",226.30801199813877,64575.724672504024,254.1175410563073,0.0634315947232078
"(5, 1, 3)",226.0862801234313,64640.6649416741,254.24528499398784,0.0633846420021131
"(0, 1, 0)",226.35204290574598,64752.71574718145,254.46554923443261,0.06346713063140307
"(3, 1, 5)",226.36183099978277,64787.87127821687,254.53461705280262,0.06347823350577489
"(7, 1, 5)",226.63682260515816,64874.89949512874,254.70551524285597,0.06361087799399566
"(4, 1, 3)",226.1930733514885,64931.248868729665,254.81610794596494,0.06345487592507881
"(1, 1, 3)",226.58240064640069,64955.81623350016,254.8643094540704,0.06355824570648429
"(3, 1, 4)",226.26090607588728,64969.420367918574,254.89099703190493,0.06347898310477361
"(4, 1, 2)",226.1885669262945,65032.64767202238,255.01499499445592,0.0634639710730374
"(3, 1, 1)",226.73059346516183,65110.30990479486,255.1672194949713,0.06361703192978246
"(2, 1, 3)",226.50580528026734,65289.638325164175,255.51837179577552,0.06357810157886173
"(3, 1, 2)",226.5212376515559,65305.69723152762,255.54979403538485,0.06358430046121682
"(0, 1, 4)",226.84659777026303,65399.59604949969,255.73344726394257,0.06368855570402616
"(4, 1, 5)",227.4400283999495,65734.87117293419,256.3881260373307,0.06389850856810406
"(0, 1, 7)",227.02288648144497,65765.4450380057,256.44774328897046,0.0637851277029037
"(1, 1, 2)",227.31413146543431,65799.85653836708,256.51482713162426,0.06385645365665206
"(4, 1, 0)",227.1253738089629,65820.33218229232,256.55473525603134,0.06381470842092868
"(2, 1, 2)",227.3909213966517,65862.33413470713,256.63657988429304,0.06388699334100349
"(2, 1, 1)",227.44094739927647,65908.9347476928,256.72735488781245,0.06389875716434895
"(7, 1, 0)",227.1933200654341,66117.98243653464,257.13417205135266,0.06386148357244835
