Order,MAE,MSE,RMSE,MAPE
"(3, 1, 5)",151.1579356156986,39963.608232314575,199.90899987823104,0.04172330664840262
"(3, 1, 4)",151.0111476658763,40557.71519021538,201.3894614676135,0.04166277423792612
"(4, 1, 3)",151.21064478321867,40784.109529400666,201.95076016049225,0.041696554089350156
"(4, 1, 5)",149.92752491229118,40860.34405474009,202.13941737014108,0.041395423520706555
"(5, 1, 4)",151.8979032057692,41333.023777774295,203.3052477871004,0.042002498046484156
"(7, 1, 4)",152.66946070755472,41507.59531162111,203.7341289809371,0.04212111807383347
"(2, 1, 5)",150.92639519278416,41518.37446603929,203.76058123699806,0.04162828005354129
"(4, 1, 4)",152.1496469733419,41740.57045016718,204.30509159139226,0.041974877963615036
"(7, 1, 5)",153.72000207949168,41845.044242496566,204.5606126371755,0.04242998332599115
"(5, 1, 2)",151.20172924088692,41855.19990434158,204.58543424286486,0.041713367155181445
"(7, 1, 2)",154.4076259903269,41906.75447336273,204.71139312056553,0.04264543438446557
"(5, 1, 1)",150.42801247116915,41916.041035496964,204.7340739483708,0.04148734704964721
"(1, 1, 5)",150.62885933200874,41974.43406166625,204.87663132154984,0.041541115905687674
"(0, 1, 0)",151.30745180191533,42009.82342751372,204.96298062702377,0.04176746977839459
"(2, 1, 2)",152.76475800074354,42016.57958919799,204.97946138381275,0.04214075655665912
"(3, 1, 3)",153.42923168580273,42060.09851825547,205.08558827537217,0.04232144560425425
"(2, 1, 7)",154.2357902620324,42102.45695587463,205.18883243460067,0.042587928421741354
"(7, 1, 3)",154.7167873620656,42118.392167460224,205.22765936262155,0.04273631725543418
"(7, 1, 6)",154.83368568048292,42171.19165578037,205.35625545811934,0.04281343166936198
"(6, 1, 0)",154.31065206930919,42201.87900524827,205.43095921805036,0.042582028631406664
"(2, 1, 3)",152.22527207831544,42249.507923830824,205.54685092170794,0.04198364184202327
"(6, 1, 1)",154.18532857533373,42282.08053179789,205.62606967940104,0.04254252450954384
"(0, 1, 1)",151.36438830732354,42282.45286457098,205.6269750411433,0.04177240197321583
"(5, 1, 0)",150.12024087306898,42322.545641311306,205.72444104022085,0.04140704552040529
"(1, 1, 0)",151.46657215902522,42326.012096992294,205.73286586491787,0.041800467118916156
"(1, 1, 1)",151.6565314681255,42386.28157543931,205.87928884528262,0.04185396805511997
"(6, 1, 3)",155.10766586923464,42391.26544392758,205.89139235025726,0.042872497873654485
"(7, 1, 0)",153.873268199164,42405.89556138933,205.92691801070916,0.04244640262848775
"(0, 1, 6)",156.22150781515325,42420.435639291754,205.96221896088554,0.04311999662475773
"(7, 1, 1)",153.83011662835978,42425.03827265388,205.97339214727197,0.0424236883720286
"(2, 1, 0)",151.97681048625077,42488.62564285137,206.12769256664998,0.04194218844013979
"(6, 1, 4)",156.10317168063176,42509.21338384962,206.17762580806294,0.043124457728712484
"(0, 1, 5)",150.38365419253185,42565.38049247157,206.31379132881926,0.04148555461783839
"(0, 1, 2)",152.20785915020898,42571.320826711955,206.32818718418469,0.04200325837901146
"(1, 1, 6)",155.75124824848476,42574.89098303405,206.3368386474748,0.042980575470970964
"(3, 1, 7)",155.3829078389525,42672.59658749691,206.57346535191036,0.042910310333423116
"(4, 1, 7)",153.53068271111724,42717.76369511424,206.68276100128486,0.042360199958236935
"(6, 1, 2)",158.57000312334745,42741.075308304324,206.73914798195412,0.043855095165696474
"(0, 1, 7)",154.62904329190525,42812.45750357327,206.91171427343903,0.04265492227189872
"(2, 1, 6)",158.9071802272208,42854.105747663445,207.0123323564648,0.04394806273303528
"(6, 1, 7)",156.97374730472274,42920.499836075556,207.17263293223735,0.043381696507741374
"(1, 1, 7)",154.7214178340935,43175.92098937099,207.78816373742512,0.042685602184671316
"(4, 1, 2)",152.98321122687483,43179.91721141191,207.79777961136136,0.04220373849121003
"(4, 1, 6)",156.45975507056997,43188.08640998382,207.81743528872602,0.04322218644245766
"(3, 1, 2)",153.23825138205962,43190.68969865568,207.82369859728627,0.04231018437971765
"(2, 1, 4)",153.10981880469316,43250.33089084736,207.96713896874996,0.04223109132804848
"(5, 1, 3)",154.6164869779717,43265.94607458117,208.00467801129176,0.04267970517430243
"(3, 1, 0)",153.07806328134558,43284.19734422189,208.0485456431308,0.042219913606218275
"(0, 1, 3)",153.16390541442306,43424.1996317809,208.38473944072993,0.04224559470446811
"(5, 1, 7)",156.56996323958634,43520.656199195895,208.61604971620926,0.04313828152335847
"(2, 1, 1)",154.7649012981894,43579.35337100894,208.7566846139518,0.04271326007423363
"(3, 1, 6)",156.9835479533982,43699.09810268346,209.04329241256096,0.04332336483416498
"(5, 1, 5)",156.09130783469442,43722.43667138784,209.09910729457417,0.04306013318064187
"(1, 1, 2)",155.1526622850746,43784.54512140819,209.2475689737116,0.042822376682221504
"(1, 1, 3)",154.07128300849607,43809.04559178725,209.30610500362204,0.0425079684850558
"(6, 1, 5)",159.99973822978455,43811.447918905935,209.31184371388528,0.04422233348563316
"(3, 1, 1)",154.52540118272725,43856.135612107406,209.41856558602296,0.042638509683017786
"(5, 1, 6)",157.68273519331956,44240.013080511366,210.33310029691324,0.04352292383150105
"(0, 1, 4)",155.29911465427855,44324.98977850032,210.53500843921498,0.04287065113415473
"(6, 1, 6)",161.27944605160823,44327.92117402589,210.54197010103684,0.044530545825534784
"(4, 1, 1)",155.7260340624429,44331.69783159599,210.55093880483173,0.04300170736671868
"(7, 1, 7)",156.3194024328038,44356.006665124805,210.60865762148717,0.043084583701122316
"(1, 1, 4)",155.83211171182143,44470.700465701055,210.88077310580275,0.04303665070110711
"(4, 1, 0)",156.16582903656908,44575.68420531477,211.12954365818814,0.04312155087201574
